"p3","ingocup","se","cv"
6116,4916.94294596067,324.833587155611,0.0660641359327681
6117,5963.2500122124,617.017808848235,0.103470055353141
6119,3225,0,0
6121,6448.75252578141,285.770438289013,0.0443140649523353
6122,6391.80614178373,862.327023042439,0.134911323014843
6123,6373.30869785852,1492.07760850632,0.234113500418969
6124,4480.27564853556,1144.58996157626,0.25547311178284
6125,7245.54785423757,977.135641110135,0.134860145949993
6126,4531.05825242718,1659.22057486719,0.366188312405471
6127,6076.50760135135,613.537588756437,0.100968784869123
6128,5361.55377530461,447.713681619633,0.0835044653812497
6129,8970.9790931306,3193.10036867874,0.355936663716429
6131,5986.62948354038,696.693679007703,0.11637494535501
6201,6966.00089632507,976.488820395432,0.140179255634403
6211,6808.49947125996,443.643183366942,0.0651601994300871
6212,6264.2030181561,806.332020508408,0.128720607900374
6213,3549.09632381196,899.269831407783,0.253379945022712
6221,5535.08744732089,751.617431590393,0.135791428544493
6222,3825.2850182704,685.482899937368,0.179197862816326
6223,5527.22894027128,360.245110228464,0.0651764408750514
6224,5548.37280226648,399.72582662921,0.0720437938968204
6225,6078.82277791533,1182.47427101157,0.194523563889304
6226,4068.54789272031,767.417842509719,0.188622049621888
6227,5874.34259765839,707.918883916117,0.120510316200881
6231,4300,0,0
6311,7554.90269870812,421.658011650743,0.055812500632582
6999,5837.31803797468,807.310303349325,0.138301579269344
7101,14782.6451830904,628.577039709399,0.0425212830264246
7111,10987.6108282628,1086.20561796885,0.0988573071021835
7112,6023.56707317073,976.961452229814,0.162189852019952
7113,14681.3267813268,1898.43237436397,0.129309319425993
7121,8469.95995870699,92.8460059805812,0.0109617998707464
7122,6077.96380822618,1080.22472953339,0.177728062163082
7123,10237.6716988165,728.784924329583,0.0711865886863545
7131,9431.86794111184,520.461728974554,0.0551811933992368
7132,9867.4301515373,545.135337915813,0.0552459282248767
7133,9321.93505108841,679.76319779121,0.072920825350724
7134,7966.17399741268,325.896883752134,0.0409100885642193
7135,7238.43020112771,221.598787714034,0.0306142052291269
7199,8180.76923076923,361.668528277457,0.0442095991312359
7201,11217.1950512275,1859.69108043435,0.16578931470313
7211,8738.48413051539,765.122870258858,0.0875578485731863
7212,10276.7816776749,400.677507000242,0.0389886172118131
7213,8532.86369626926,329.60166901361,0.0386273214650925
7214,8835.7361409055,1066.9089987942,0.120749305069771
7221,8366.70094477069,223.391723828459,0.0267000966453907
7222,7440.2624173259,863.102039536752,0.116004247044684
7223,5277.97197721426,302.336518995396,0.0572827063691556
7299,8170,0,0
7301,10053.1483137455,883.545110779118,0.087887404343877
7311,7960.57759234679,338.858880214302,0.042567122332942
7312,6809.62476484816,746.561045836872,0.109633213520175
7313,2378.58840064046,333.516565273713,0.140216174090444
7321,4205.93916431201,515.461865115399,0.122555711097575
7322,7899.9089098308,742.123584829829,0.0939407774571067
7331,1726.56061437191,308.12847331569,0.178463745061033
7332,2112.41558301344,295.376300797281,0.139828688621922
7341,3947.37109350171,157.076204544588,0.0397926115442178
7342,5370.72803602262,548.437875833666,0.10211611389651
7343,1521.78256685302,187.073876188744,0.122930752568421
7344,8303.89383926668,1181.29040619765,0.142257407074699
7351,8281.39759604054,579.604431400864,0.0699887216715669
7352,9690.22062879206,1612.5936602552,0.166414545347273
7353,6447.03581820417,471.062240301316,0.0730664841307693
7399,6957.46552856205,851.906995387042,0.12244501850419
7401,1500,0,0
7411,5543.15385533897,347.214456410668,0.0626384303001519
7412,5827.07728953802,662.40604137681,0.113677236196283
7501,9056.12704918033,914.752620749968,0.101009252165114
7511,6566.60314905582,166.238667768835,0.0253157780355186
7512,6498.1746776689,710.958722953938,0.109408989173092
7513,5271.16676456566,149.371893428731,0.0283375389359436
7514,4662.62986028598,749.917138389228,0.160835657313624
7515,3693.24230414609,293.868790676108,0.0795693232329236
7516,2728.37803320562,704.563304524419,0.258235221054252
7517,7711.82286791077,2188.97804665444,0.283847033852771
7599,2838.44863731656,262.82397871695,0.0925942344919161
7601,13343.3734939759,641.334420194285,0.0480638888272015
7611,5138.11694969561,604.600339479448,0.117669633719658
7612,6358.7153508324,274.336636290835,0.0431434057281591
7613,8038.74044414536,1340.93569035627,0.16680917858629
7614,3501.71366024518,1691.69250411463,0.48310417933949
7999,3847.14303420922,722.865831687117,0.187896791270643
8101,9533.91235196409,274.169180748747,0.0287572583664738
8111,9413.78701837943,635.928656126264,0.0675529045733327
8112,25271.1558067376,6157.53365250533,0.243658568669964
8113,7065.18882065161,669.181782548917,0.0947153430058221
8114,8728.16968832756,614.791507094179,0.0704376208354838
